lv,salary,p0,p1,p2,p3
6,28800,1351,2702,4053,5404
7,30300,1421,2842,4263,5684
8,31800,1491,2982,4473,5964
9,33300,1562,3124,4686,6248
10,34800,1632,3264,4896,6528
11,36300,1702,3404,5106,6808
12,38200,1792,3584,5376,7168
13,40100,1881,3762,5643,7524
14,42000,1970,3940,5910,7880
15,43900,2059,4118,6177,8236
16,45800,2148,4296,6444,8592
17,48200,2261,4522,6783,9044
18,50600,2373,4746,7119,9492
19,53000,2486,4972,7458,9944
20,55400,2598,5196,7794,10392
21,57800,2711,5422,8133,10844
22,60800,2852,5704,8556,11408
23,63800,2992,5984,8976,11968
24,66800,3133,6266,9399,12532
25,69800,3274,6548,9822,13096
26,72800,3414,6828,10242,13656
27,76500,3588,7176,10764,14352
28,80200,3761,7522,11283,15044
29,83900,3935,7870,11805,15740
30,87600,4108,8216,12324,16432
31,92100,4319,8638,12957,17276
32,96600,4531,9062,13593,18124
33,101100,4742,9484,14226,18968
34,105600,4953,9906,14859,19812
35,110100,5164,10328,15492,20656
36,115500,5417,10834,16251,21668
37,120900,5670,11340,17010,22680
38,126300,5923,11846,17769,23692
39,131700,6177,12354,18531,24708
40,137100,6430,12860,19290,25720
41,142500,6683,13366,20049,26732
42,147900,6937,13874,20811,27748
43,150000,7035,14070,21105,28140
44,156400,7335,14670,22005,29340
45,162800,7635,15270,22905,30540
46,169200,7935,15870,23805,31740
47,175600,8236,16472,24708,32944
48,182000,8536,17072,25608,34144
