lv,salary,p0,p1,p2,p3
6,31800,1644,3288,4932,6576
7,33300,1722,3444,5166,6888
8,34800,1799,3598,5397,7196
9,36300,1877,3754,5631,7508
10,38200,1975,3950,5925,7900
11,40100,2073,4146,6219,8292
12,42000,2171,4342,6513,8684
13,43900,2270,4540,6810,9080
14,45800,2368,4736,7104,9472
15,48200,2492,4984,7476,9968
16,50600,2616,5232,7848,10464
17,53000,2740,5480,8220,10960
18,55400,2864,5728,8592,11456
19,57800,2988,5976,8964,11952
20,60800,3143,6286,9429,12572
21,63800,3298,6596,9894,13192
22,66800,3454,6908,10362,13816
23,69800,3609,7218,10827,14436
24,72800,3764,7528,11292,15056
25,76500,3955,7910,11865,15820
26,80200,4146,8292,12438,16584
27,83900,4338,8676,13014,17352
28,87600,4529,9058,13587,18116
29,92100,4762,9524,14286,19048
30,96600,4994,9988,14982,19976
31,101100,5227,10454,15681,20908
32,105600,5460,10920,16380,21840
33,110100,5692,11384,17076,22768
34,115500,5971,11942,17913,23884
35,120900,6251,12502,18753,25004
36,126300,6530,13060,19590,26120
37,131700,6809,13618,20427,27236
38,137100,7088,14176,21264,28352
39,142500,7367,14734,22101,29468
40,147900,7646,15292,22938,30584
41,150000,7755,15510,23265,31020
42,156400,8086,16172,24258,32344
43,162800,8417,16834,25251,33668
44,169200,8748,17496,26244,34992
45,175600,9079,18158,27237,36316
46,182000,9409,18818,28227,37636
