lv,salary,p0,p1,p2,p3,com,gov
1,25250,392,784,1176,1568,1238,206
2,26400,409,818,1227,1636,1294,216
3,27600,428,856,1284,1712,1353,225
4,28800,447,894,1341,1788,1412,235
5,30300,470,940,1410,1880,1485,248
6,31800,493,986,1479,1972,1559,260
7,33300,516,1032,1548,2064,1632,272
8,34800,540,1080,1620,2160,1706,284
9,36300,563,1126,1689,2252,1779,297
10,38200,592,1184,1776,2368,1872,312
11,40100,622,1244,1866,2488,1965,328
12,42000,651,1302,1953,2604,2058,343
13,43900,681,1362,2043,2724,2152,359
14,45800,710,1420,2130,2840,2245,374
15,48200,748,1496,2244,2992,2362,394
16,50600,785,1570,2355,3140,2480,413
17,53000,822,1644,2466,3288,2598,433
18,55400,859,1718,2577,3436,2715,453
19,57800,896,1792,2688,3584,2833,472
20,60800,943,1886,2829,3772,2980,497
21,63800,990,1980,2970,3960,3127,521
22,66800,1036,2072,3108,4144,3274,546
23,69800,1083,2166,3249,4332,3421,570
24,72800,1129,2258,3387,4516,3568,595
25,76500,1187,2374,3561,4748,3749,625
26,80200,1244,2488,3732,4976,3931,655
27,83900,1301,2602,3903,5204,4112,685
28,87600,1359,2718,4077,5436,4293,716
29,92100,1428,2856,4284,5712,4514,752
30,96600,1498,2996,4494,5992,4735,789
31,101100,1568,3136,4704,6272,4955,826
32,105600,1638,3276,4914,6552,5176,863
33,110100,1708,3416,5124,6832,5396,899
34,115500,1791,3582,5373,7164,5661,943
35,120900,1875,3750,5625,7500,5926,988
36,126300,1959,3918,5877,7836,6190,1032
37,131700,2043,4086,6129,8172,6455,1076
38,137100,2126,4252,6378,8504,6719,1120
39,142500,2210,4420,6630,8840,6984,1164
40,147900,2294,4588,6882,9176,7249,1208
41,150000,2327,4654,6981,9308,7352,1225
42,156400,2426,4852,7278,9704,7665,1278
43,162800,2525,5050,7575,10100,7979,1330
44,169200,2624,5248,7872,10496,8293,1382
45,175600,2724,5448,8172,10896,8606,1434
46,182000,2823,5646,8469,11292,8920,1487
