lv,salary,p0,p1,p2,p3,com,gov
1,27470,426,852,1278,1704,1329,222
2,27600,428,856,1284,1712,1336,223
3,28800,447,894,1341,1788,1394,232
4,30300,470,940,1410,1880,1466,244
5,31800,493,986,1479,1972,1539,256
6,33300,516,1032,1548,2064,1611,269
7,34800,540,1080,1620,2160,1684,281
8,36300,563,1126,1689,2252,1757,293
9,38200,592,1184,1776,2368,1849,308
10,40100,622,1244,1866,2488,1940,323
11,42000,651,1302,1953,2604,2032,339
12,43900,681,1362,2043,2724,2124,354
13,45800,710,1420,2130,2840,2216,369
14,48200,748,1496,2244,2992,2332,389
15,50600,785,1570,2355,3140,2449,408
16,53000,822,1644,2466,3288,2565,427
17,55400,859,1718,2577,3436,2681,447
18,57800,896,1792,2688,3584,2797,466
19,60800,943,1886,2829,3772,2942,490
20,63800,990,1980,2970,3960,3087,515
21,66800,1036,2072,3108,4144,3233,539
22,69800,1083,2166,3249,4332,3378,563
23,72800,1129,2258,3387,4516,3523,587
24,76500,1187,2374,3561,4748,3702,617
25,80200,1244,2488,3732,4976,3881,647
26,83900,1301,2602,3903,5204,4060,677
27,87600,1359,2718,4077,5436,4239,707
28,92100,1428,2856,4284,5712,4457,743
29,96600,1498,2996,4494,5992,4675,779
30,101100,1568,3136,4704,6272,4892,815
31,105600,1638,3276,4914,6552,5110,852
32,110100,1708,3416,5124,6832,5328,888
33,115500,1791,3582,5373,7164,5589,932
34,120900,1875,3750,5625,7500,5850,975
35,126300,1959,3918,5877,7836,6112,1019
36,131700,2043,4086,6129,8172,6373,1062
37,137100,2126,4252,6378,8504,6634,1106
38,142500,2210,4420,6630,8840,6896,1149
39,147900,2294,4588,6882,9176,7157,1193
40,150000,2327,4654,6981,9308,7259,1210
41,156400,2426,4852,7278,9704,7568,1261
42,162800,2525,5050,7575,10100,7878,1313
43,169200,2624,5248,7872,10496,8188,1365
44,175600,2724,5448,8172,10896,8497,1416
45,182000,2823,5646,8469,11292,8807,1468
46,189500,2939,5878,8817,11756,9170,1528
47,197000,3055,6110,9165,12220,9533,1589
48,204500,3172,6344,9516,12688,9896,1649
49,212000,3288,6576,9864,13152,10259,1710
50,219500,3404,6808,10212,13616,10622,1770
