lv,salary,p0,p1,p2,p3
6,33300,1722,3444,5166,6888
7,34800,1799,3598,5397,7196
8,36300,1877,3754,5631,7508
9,38200,1975,3950,5925,7900
10,40100,2073,4146,6219,8292
11,42000,2171,4342,6513,8684
12,43900,2270,4540,6810,9080
13,45800,2368,4736,7104,9472
14,48200,2492,4984,7476,9968
15,50600,2616,5232,7848,10464
16,53000,2740,5480,8220,10960
17,55400,2864,5728,8592,11456
18,57800,2988,5976,8964,11952
19,60800,3143,6286,9429,12572
20,63800,3298,6596,9894,13192
21,66800,3454,6908,10362,13816
22,69800,3609,7218,10827,14436
23,72800,3764,7528,11292,15056
24,76500,3955,7910,11865,15820
25,80200,4146,8292,12438,16584
26,83900,4338,8676,13014,17352
27,87600,4529,9058,13587,18116
28,92100,4762,9524,14286,19048
29,96600,4994,9988,14982,19976
30,101100,5227,10454,15681,20908
31,105600,5460,10920,16380,21840
32,110100,5692,11384,17076,22768
33,115500,5971,11942,17913,23884
34,120900,6251,12502,18753,25004
35,126300,6530,13060,19590,26120
36,131700,6809,13618,20427,27236
37,137100,7088,14176,21264,28352
38,142500,7367,14734,22101,29468
39,147900,7646,15292,22938,30584
40,150000,7755,15510,23265,31020
41,156400,8086,16172,24258,32344
42,162800,8417,16834,25251,33668
43,169200,8748,17496,26244,34992
44,175600,9079,18158,27237,36316
45,182000,9409,18818,28227,37636
46,189500,9797,19594,29391,39188
47,197000,10185,20370,30555,40740
48,204500,10573,21146,31719,42292
49,212000,10960,21920,32880,43840
50,219500,11348,22696,34044,45392