lv,salary,p0,p1,p2,p3,com,gov
1,26400,409,818,1227,1636,1286,214
2,27600,428,856,1284,1712,1344,224
3,28800,447,894,1341,1788,1403,234
4,30300,470,940,1410,1880,1476,246
5,31800,493,986,1479,1972,1549,258
6,33300,516,1032,1548,2064,1622,270
7,34800,540,1080,1620,2160,1695,282
8,36300,563,1126,1689,2252,1768,295
9,38200,592,1184,1776,2368,1860,310
10,40100,622,1244,1866,2488,1953,325
11,42000,651,1302,1953,2604,2045,341
12,43900,681,1362,2043,2724,2138,356
13,45800,710,1420,2130,2840,2231,372
14,48200,748,1496,2244,2992,2347,391
15,50600,785,1570,2355,3140,2464,411
16,53000,822,1644,2466,3288,2581,430
17,55400,859,1718,2577,3436,2698,450
18,57800,896,1792,2688,3584,2815,469
19,60800,943,1886,2829,3772,2961,494
20,63800,990,1980,2970,3960,3107,518
21,66800,1036,2072,3108,4144,3253,542
22,69800,1083,2166,3249,4332,3399,567
23,72800,1129,2258,3387,4516,3545,591
24,76500,1187,2374,3561,4748,3726,621
25,80200,1244,2488,3732,4976,3906,651
26,83900,1301,2602,3903,5204,4086,681
27,87600,1359,2718,4077,5436,4266,711
28,92100,1428,2856,4284,5712,4485,748
29,96600,1498,2996,4494,5992,4705,784
30,101100,1568,3136,4704,6272,4924,821
31,105600,1638,3276,4914,6552,5143,857
32,110100,1708,3416,5124,6832,5362,894
33,115500,1791,3582,5373,7164,5625,938
34,120900,1875,3750,5625,7500,5888,981
35,126300,1959,3918,5877,7836,6151,1025
36,131700,2043,4086,6129,8172,6414,1069
37,137100,2126,4252,6378,8504,6677,1113
38,142500,2210,4420,6630,8840,6940,1157
39,147900,2294,4588,6882,9176,7203,1200
40,150000,2327,4654,6981,9308,7305,1218
41,156400,2426,4852,7278,9704,7617,1269
42,162800,2525,5050,7575,10100,7929,1321
43,169200,2624,5248,7872,10496,8240,1373
44,175600,2724,5448,8172,10896,8552,1425
45,182000,2823,5646,8469,11292,8864,1477
46,189500,2939,5878,8817,11756,9229,1538
47,197000,3055,6110,9165,12220,9594,1599
48,204500,3172,6344,9516,12688,9959,1660
49,212000,3288,6576,9864,13152,10325,1721
50,219500,3404,6808,10212,13616,10690,1782