lv,salary,p0,p1,p2,p3,com,gov
1,28590,443,886,1329,1772,1384,231
2,28800,447,894,1341,1788,1394,232
3,30300,470,940,1410,1880,1466,244
4,31800,493,986,1479,1972,1539,256
5,33300,516,1032,1548,2064,1611,269
6,34800,540,1080,1620,2160,1684,281
7,36300,563,1126,1689,2252,1757,293
8,38200,592,1184,1776,2368,1849,308
9,40100,622,1244,1866,2488,1940,323
10,42000,651,1302,1953,2604,2032,339
11,43900,681,1362,2043,2724,2124,354
12,45800,710,1420,2130,2840,2216,369
13,48200,748,1496,2244,2992,2332,389
14,50600,785,1570,2355,3140,2449,408
15,53000,822,1644,2466,3288,2565,427
16,55400,859,1718,2577,3436,2681,447
17,57800,896,1792,2688,3584,2797,466
18,60800,943,1886,2829,3772,2942,490
19,63800,990,1980,2970,3960,3087,515
20,66800,1036,2072,3108,4144,3233,539
21,69800,1083,2166,3249,4332,3378,563
22,72800,1129,2258,3387,4516,3523,587
23,76500,1187,2374,3561,4748,3702,617
24,80200,1244,2488,3732,4976,3881,647
25,83900,1301,2602,3903,5204,4060,677
26,87600,1359,2718,4077,5436,4239,707
27,92100,1428,2856,4284,5712,4457,743
28,96600,1498,2996,4494,5992,4675,779
29,101100,1568,3136,4704,6272,4892,815
30,105600,1638,3276,4914,6552,5110,852
31,110100,1708,3416,5124,6832,5328,888
32,115500,1791,3582,5373,7164,5589,932
33,120900,1875,3750,5625,7500,5850,975
34,126300,1959,3918,5877,7836,6112,1019
35,131700,2043,4086,6129,8172,6373,1062
36,137100,2126,4252,6378,8504,6634,1106
37,142500,2210,4420,6630,8840,6896,1149
38,147900,2294,4588,6882,9176,7157,1193
39,150000,2327,4654,6981,9308,7259,1210
40,156400,2426,4852,7278,9704,7568,1261
41,162800,2525,5050,7575,10100,7878,1313
42,169200,2624,5248,7872,10496,8188,1365
43,175600,2724,5448,8172,10896,8497,1416
44,182000,2823,5646,8469,11292,8807,1468
45,189500,2939,5878,8817,11756,9170,1528
46,197000,3055,6110,9165,12220,9533,1589
47,204500,3172,6344,9516,12688,9896,1649
48,212000,3288,6576,9864,13152,10259,1710
49,219500,3404,6808,10212,13616,10622,1770
50,228200,3539,7078,10617,14156,11043,1840
51,236900,3674,7348,11022,14696,11464,1911
52,245600,3809,7618,11427,15236,11885,1981
53,254300,3944,7888,11832,15776,12306,2051
54,263000,4079,8158,12237,16316,12727,2121
55,273000,4234,8468,12702,16936,13211,2202
56,283000,4389,8778,13167,17556,13695,2282
57,293000,4544,9088,13632,18176,14179,2363
58,303000,4700,9400,14100,18800,14663,2444
59,313000,4855,9710,14565,19420,15146,2524
